Theta_deg,Theta_rad,Gamma_mean,Gamma_std
173.0,3.01941960595019,1.0126333888888897,0.05918148794798638
174.0,3.036872898470133,1.011064111111111,0.059534689390947054
175.0,3.0543261909900767,1.009734277777777,0.05984577639446389
176.0,3.07177948351002,1.0086723333333332,0.060103425961698195
177.0,3.0892327760299634,1.0079044444444445,0.060294429982491564
178.0,3.1066860685499065,1.0074477222222222,0.06041287497831122
179.0,3.12413936106985,1.0073139444444443,0.06045419746016375
180.0,3.141592653589793,1.007507611111111,0.06041680768134245
181.0,3.1590459461097367,1.0080260555555558,0.060304533305707085
182.0,3.1764992386296798,1.0088591666666666,0.06012230340337749
183.0,3.193952531149623,1.0099896111111113,0.05988152187040198
184.0,3.2114058236695664,1.0113942222222227,0.059594034283415004
185.0,3.2288591161895095,1.0130441666666667,0.059273220877512994
186.0,3.246312408709453,1.014904388888889,0.0589361666943698
187.0,3.263765701229396,1.0169373888888888,0.058597176907385494
188.0,3.2812189937493397,1.0191020000000002,0.05827124264449259
189.0,3.2986722862692828,1.0213563333333338,0.05797144501006986
190.0,3.3161255787892263,1.0236558333333328,0.05770912773821448
191.0,3.3335788713091694,1.0259575555555565,0.057491297685651935
192.0,3.351032163829113,1.0282212777777782,0.057321630947473876
193.0,3.368485456349056,1.030407277777778,0.057202407329204036
194.0,3.385938748868999,1.032479333333333,0.05713080919745105
195.0,3.4033920413889427,1.0344075,0.05710081791470048
196.0,3.420845333908886,1.0361641111111113,0.05710688763468892
197.0,3.4382986264288293,1.0377274999999997,0.05713911522547404
198.0,3.4557519189487724,1.0390804444444444,0.05718817976958197
199.0,3.473205211468716,1.0402118888888883,0.05724488110825951
200.0,3.490658503988659,1.0411139999999997,0.05730084932083372
201.0,3.5081117965086026,1.0417843333333339,0.057347118644076434
202.0,3.5255650890285457,1.0422248333333337,0.057377822849705815
203.0,3.543018381548489,1.0424396666666662,0.057386105808713735
204.0,3.5604716740684323,1.0424378333333333,0.05737002610999153
205.0,3.5779249665883754,1.0422273888888884,0.057326135898654346
206.0,3.595378259108319,1.0418198888888894,0.05725267580344452
207.0,3.612831551628262,1.041227055555556,0.057151325645140666
208.0,3.6302848441482056,1.0404597777777778,0.057022419401451745
209.0,3.6477381366681487,1.0395291666666666,0.056868352396614724
210.0,3.6651914291880923,1.0384441666666657,0.05669193483571246
211.0,3.6826447217080354,1.0372147777777778,0.05649734185935511
212.0,3.7000980142279785,1.0358466111111113,0.05628805366805336
213.0,3.717551306747922,1.034345277777778,0.05607033840960194
